ticker,orderId,status,action,quantity,limit_price,filled,remaining,error
UPST,185,PreSubmitted,BUY,19.0,46.51,0.0,19.0,
V,186,PreSubmitted,BUY,14.0,341.9,0.0,14.0,
VITL,187,PreSubmitted,BUY,44.0,40.86,0.0,44.0,
VRSN,188,PreSubmitted,BUY,8.0,264.8,0.0,8.0,
WNS,189,Cancelled,BUY,4.0,76.49,0.0,0.0,
XOM,190,PreSubmitted,BUY,13.0,112.25,0.0,13.0,
XP,191,PreSubmitted,BUY,105.0,16.56,0.0,105.0,
YOU,192,PreSubmitted,BUY,84.0,31.29,0.0,84.0,
Z,193,PreSubmitted,BUY,77.0,72.97,0.0,77.0,
ZG,194,PreSubmitted,BUY,81.0,69.83,0.0,81.0,
